D10A_data-2006-03-26-0836.txt

d10a.D10A Time	Hr	Mn	Sec	fractions of sec	Pitch	Bank	Heading	IAS	Baro Altitude	Yaw rate	Ny	Nz
(seconds)	(Hr)	(Mn)	(Sec)	(1/64 sec)	(deg)	(deg)	(deg mag)	(KIAS)	(ft)	(deg/s)	(g)	(g)
1143380574.01	13	47	59	26	9.4	0.5	304	0.0	-291.99476	+004	0.01	1.0
1143380575.01	13	48	00	26	9.4	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380576.01	13	48	01	26	9.4	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380577.02	13	48	02	26	9.4	0.6	304	0.0	-291.99476	+004	0.01	1.0
1143380578.01	13	48	03	26	9.4	0.7	303	0.0	-291.99476	+004	0.01	1.0
1143380579.01	13	48	04	26	9.4	0.7	303	0.0	-291.99476	+004	0.01	1.0
1143380580.0	13	48	05	25	9.4	0.7	303	0.0	-291.99476	+004	0.01	1.0
1143380581.01	13	48	06	26	9.4	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380582.02	13	48	07	26	9.4	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380583.01	13	48	08	26	9.4	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380584.01	13	48	09	26	9.4	0.7	304	0.0	-291.99476	+004	0.01	1.0
1143380585.01	13	48	10	26	9.4	0.7	304	0.0	-291.99476	+003	0.01	1.0
1143380586.01	13	48	11	26	9.4	0.8	304	0.0	-291.99476	+003	0.01	1.0
1143380587.02	13	48	12	26	9.4	0.7	304	0.0	-291.99476	+004	0.01	1.0
1143380588.01	13	48	13	26	9.4	0.7	304	0.0	-291.99476	+004	0.01	1.0
1143380589.01	13	48	14	26	9.4	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380590.01	13	48	15	26	9.5	0.8	303	0.0	-291.99476	+003	0.01	1.0
1143380591.01	13	48	16	26	9.5	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380592.01	13	48	17	26	9.5	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380593.01	13	48	18	26	9.5	0.6	303	0.0	-291.99476	+004	0.01	1.0
1143380594.01	13	48	19	26	9.5	0.6	303	0.0	-291.99476	+003	0.01	1.0
1143380595.01	13	48	20	26	9.5	0.7	303	0.0	-291.99476	+003	0.01	1.0
1143380596.01	13	48	21	26	9.5	0.7	304	0.0	-291.99476	+004	0.01	1.0
1143380597.01	13	48	22	26	9.5	0.7	304	0.0	-291.99476	+004	0.01	1.0
