EIS4000_data-2006-03-26-0836.txt

eis4000.EIS4000 Time	RPM	MP	OAT	Fuel Flow	Fuel Qty	CHT 1	CHT 2	CHT 3	CHT 4	EGT 1	EGT 2	EGT 3	EGT 4	Oil Temp	Oil Press	Volt	Hour Meter	Hrs	Min	Sec	Hours End	Min End	Unit Temp
(seconds)	(RPM)	(in HG)	(deg C)	(USG/hr)	(USG)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(deg C)	(psi)	(volt)	(hr)	(hr)	(mn)	(s)	(hr)	(mn)	(deg C)
1143381032.02	0	29	-28	0.0	0.0	13	13	13	12	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381033.02	0	29	-28	0.0	0.0	13	13	13	12	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381034.09	0	29	-28	0.0	0.0	13	13	13	12	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381035.06	0	29	-28	0.0	0.0	13	13	13	12	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381036.05	0	29	-28	0.0	0.0	13	13	13	12	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381037.04	0	29	-28	0.0	0.0	13	13	13	12	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381038.03	0	29	-28	0.0	0.0	13	13	13	12	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381039.0	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381040.09	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381041.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381042.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381043.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381044.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381045.0	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381046.1	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381047.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381048.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381049.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381050.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381051.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381052.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381053.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381054.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381055.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381056.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381057.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381058.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381059.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381060.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381061.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381062.09	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381063.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381064.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381065.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381066.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381067.11	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381068.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381069.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381070.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381071.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381072.0	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381073.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381074.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381075.06	0	30	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381076.03	0	30	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381077.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381078.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381079.09	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381080.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381081.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381082.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381083.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381084.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381085.06	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381086.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381087.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381088.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381089.03	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381090.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381091.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381092.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381093.02	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381094.01	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381095.07	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381096.08	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
1143381097.05	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.1	0.0	0	0	0	0	0	21
1143381098.04	0	29	-28	0.0	0.0	13	13	13	13	17	18	18	18	20	0	12.0	0.0	0	0	0	0	0	21
