Discretes_data-2006-03-26-0836.txt

discretes.Discretes Time	Event Marker
(seconds)	(1 = Event)
1143380384.01	0
1143380385.0	0
1143380386.01	0
1143380387.01	0
1143380388.02	0
1143380389.01	0
1143380390.02	0
1143380391.0	0
1143380392.0	0
1143380393.0	0
1143380394.01	0
1143380395.01	0
1143380396.03	0
1143380397.0	0
1143380398.02	0
1143380399.01	0
1143380400.01	0
1143380401.01	0
1143380402.0	0
1143380403.02	0
1143380404.01	0
1143380405.0	0
1143380406.02	0
1143380407.0	0
1143380408.0	0
1143380409.0	0
1143380410.0	0
1143380411.0	0
1143380412.01	0
1143380413.0	0
1143380414.01	0
1143380415.0	0
1143380416.0	0
1143380417.01	0
1143380418.0	0
1143380419.0	0
1143380420.0	0
1143380421.0	0
1143380422.0	0
1143380423.01	0
1143380424.0	0
1143380425.01	0
1143380426.0	0
1143380427.0	0
1143380428.02	0
1143380429.01	0
1143380430.0	0
1143380431.01	0
1143380432.01	0
1143380433.02	0
1143380434.02	0
1143380435.02	0
1143380436.02	0
1143380437.0	0
1143380438.0	0
1143380439.0	0
1143380440.01	0
1143380441.01	0
1143380442.01	0
1143380443.01	0
1143380444.01	0
1143380445.02	0
1143380446.02	0
1143380447.01	0
1143380448.02	0
1143380449.01	0
1143380450.01	0
1143380451.01	0
1143380452.02	0
1143380453.01	0
1143380454.02	0
1143380455.01	0
1143380456.03	0
1143380457.03	0
1143380458.03	0
1143380459.03	0
1143380460.03	0
1143380461.03	0
1143380462.02	0
1143380463.0	0
1143380464.03	0
1143380465.02	0
1143380466.02	0
1143380467.02	0
1143380468.01	0
1143380469.03	0
1143380470.03	0
1143380471.03	0
1143380472.03	0
1143380473.02	0
1143380474.03	0
1143380475.04	0
1143380476.03	0
1143380477.04	0
1143380478.04	0
1143380479.04	0
1143380480.04	0
1143380481.04	0
1143380482.01	0
1143380483.01	0
1143380484.01	0
1143380485.05	0
1143380486.01	0
1143380487.01	0
1143380488.02	0
1143380489.02	0
1143380490.02	0
1143380491.0	0
1143380492.01	1
1143380493.01	0
1143380494.01	0
1143380495.01	0
1143380496.02	0
1143380497.01	0
1143380498.0	0
1143380499.0	0
1143380500.01	0
1143380501.01	0
1143380502.01	0
1143380503.0	0
1143380504.01	0
1143380505.0	0
1143380506.02	0
1143380507.0	0
1143380508.01	0
1143380509.01	0
1143380510.01	0
1143380511.0	0
1143380512.0	0
1143380513.01	0
1143380514.02	0
1143380515.01	0
1143380516.01	0
1143380517.02	0
1143380518.0	0
1143380519.02	0
1143380520.01	0
1143380521.0	0
1143380522.01	0
1143380523.01	0
1143380524.01	0
1143380525.01	0
1143380526.0	0
1143380527.02	0
1143380528.0	0
1143380529.0	0
1143380530.02	0
1143380531.02	0
1143380532.01	0
1143380533.01	0
1143380534.0	0
1143380535.02	0
1143380536.04	0
1143380537.02	0
1143380538.03	0
1143380539.01	0
1143380540.01	0
1143380541.01	0
1143380542.01	0
1143380543.01	0
1143380544.01	0
1143380545.01	0
1143380546.0	0
1143380547.01	0
1143380548.02	0
1143380549.01	0
1143380550.0	0
1143380551.01	0
1143380552.02	0
1143380553.0	0
1143380554.02	0
1143380555.02	0
1143380556.02	0
1143380557.01	0
1143380558.02	0
1143380559.01	0
1143380560.02	0
1143380561.0	0
1143380562.01	0
1143380563.02	0
1143380564.01	0
1143380565.01	0
1143380566.0	0
1143380567.01	0
1143380568.0	0
1143380569.01	0
1143380570.02	0
1143380571.02	0
1143380572.02	0
1143380573.01	0
