GNS430_data-2006-03-26-0836.txt

gns430.GNS430 Time	Grd Speed	Track	GPS Altitude	Latitude	Longitude	Desired Track	Cross Track Error	Active Waypoint	Distance to Waypoint	Bearing to Waypoint	Magnetic Variation
(seconds)	(kt)	(deg mag)	(ft)	(deg N)	(deg W)	(deg mag)	(nm R)	()	(nm)	(deg mag)	(deg E)
1143380640.64	000	014	00432	45.253	75.5821666667						-14.1
1143380641.65	000	014	00430	45.253	75.5821666667						-14.1
1143380642.65	000	014	00428	45.253	75.5821666667						-14.1
1143380643.65	000	014	00425	45.253	75.5821666667						-14.1
1143380644.65	000	014	00423	45.253	75.5821666667						-14.1
1143380645.65	000	014	00421	45.253	75.5821666667						-14.1
1143380646.65	000	014	00420	45.253	75.5821666667						-14.1
1143380647.65	000	014	00420	45.253	75.5821666667						-14.1
1143380648.66	000	014	00419	45.253	75.5821666667						-14.1
1143380649.66	000	014	00419	45.253	75.5821666667						-14.1
1143380650.66	000	014	00418	45.253	75.5821666667						-14.1
1143380651.66	000	014	00418	45.253	75.5821666667						-14.1
1143380652.66	000	014	00418	45.253	75.5821666667						-14.1
1143380653.66	000	014	00418	45.253	75.5821666667						-14.1
1143380654.66	000	014	00418	45.253	75.5821666667						-14.1
1143380655.66	000	014	00418	45.253	75.5821666667						-14.1
1143380656.66	000	014	00417	45.253	75.5821666667						-14.1
1143380657.66	000	014	00416	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380658.66	000	014	00416	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380659.66	000	014	00415	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380660.66	000	014	00415	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380661.67	000	014	00414	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380662.67	000	014	00414	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380663.67	000	014	00413	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380664.67	000	014	00412	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380665.67	000	014	00411	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380666.67	000	014	00411	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380667.67	000	014	00411	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380668.67	000	014	00411	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380669.67	000	014	00410	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380670.67	000	014	00410	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380671.67	000	014	00410	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380672.68	000	014	00410	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380673.68	000	014	00410	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380674.68	000	014	00409	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380675.68	000	014	00409	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380676.68	000	014	00408	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380677.76	000	014	00408	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380678.68	000	014	00407	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380679.68	000	014	00407	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380680.68	000	014	00404	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380681.68	000	014	00404	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380682.69	000	014	00404	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380683.69	000	014	00400	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380684.69	000	014	00396	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380685.69	000	014	00396	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380686.69	000	014	00396	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380687.69	000	014	00396	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380688.69	000	014	00394	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380689.69	000	014	00393	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380690.69	000	014	00394	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380691.7	000	014	00394	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380692.7	000	014	00394	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380693.75	000	014	00394	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380694.7	000	014	00395	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380695.7	000	014	00397	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380696.7	000	014	00398	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380697.7	000	014	00399	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380698.79	000	014	00401	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380699.7	000	014	00402	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380700.7	000	014	00403	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380701.7	000	014	00404	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380702.79	000	014	00403	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380703.71	000	014	00403	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380704.71	000	014	00402	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380705.71	000	014	00402	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380706.71	000	014	00402	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380707.71	000	014	00403	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380708.81	000	014	00403	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380709.71	000	014	00404	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380710.71	000	014	00405	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380711.72	000	014	00407	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380712.72	000	014	00408	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380713.77	000	014	00410	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380714.72	000	014	00411	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380715.72	000	014	00411	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380716.72	000	014	00411	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380717.72	000	014	00410	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380718.72	000	014	00409	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380719.72	000	014	00407	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380720.72	000	014	00405	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380721.74	000	014	00403	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380722.73	000	014	00401	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380723.74	000	014	00399	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380724.73	000	014	00397	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380725.75	000	014	00396	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380726.75	000	014	00395	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380727.73	000	014	00395	45.2528333333	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380728.73	000	014	00395	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380729.74	000	014	00396	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380730.85	000	014	00397	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380731.8	000	014	00397	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380732.74	000	014	00398	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380733.74	000	014	00398	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380734.74	000	014	00399	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380735.74	000	014	00399	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380736.74	000	014	00399	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380737.74	000	014	00399	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380738.74	000	014	00399	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380739.75	000	014	00400	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380740.83	000	014	00400	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380741.76	000	014	00400	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380742.75	000	014	00401	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380743.76	000	014	00402	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380744.76	000	014	00403	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380745.76	000	014	00404	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380746.77	000	014	00405	45.253	75.582	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380747.77	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380748.77	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380749.82	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380750.77	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380751.77	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380752.76	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380753.77	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380754.77	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380755.77	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380756.77	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380757.76	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380758.76	000	014	00406	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380759.79	000	014	00405	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380760.78	000	014	00405	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380761.78	000	014	00404	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380762.77	000	014	00404	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380763.8	000	014	00403	45.253	75.5821666667	80.6	-10.78	AVVON	25.2	105.9	-14.1
1143380764.77	000	014	00404	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380765.78	000	014	00404	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380766.79	000	014	00405	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380767.77	000	014	00405	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380768.77	000	014	00405	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380769.79	000	014	00405	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380770.79	000	014	00405	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380771.78	000	014	00405	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380772.8	000	014	00405	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380773.78	000	014	00405	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380774.78	000	014	00406	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380775.79	000	014	00406	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380776.82	000	014	00407	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380777.78	000	014	00407	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380778.78	000	014	00408	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380779.8	000	014	00409	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380780.81	000	014	00409	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380781.8	000	014	00411	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
1143380782.8	000	014	00412	45.253	75.5821666667	80.6	-10.79	AVVON	25.2	105.9	-14.1
